iter	MultiClass
0	0.1562132008
1	0.5166905898
2	2.492515169
3	1.776812724
4	1.619983634
5	1.31820945
6	1.087918639
7	0.5998135299
8	0.3744041038
9	0.2701138145
10	0.2292474895
11	0.2000200165
12	0.1858132032
13	0.1719033554
14	0.1737932529
15	0.1595906434
16	0.1475764224
17	0.146583703
18	0.1431826016
19	0.1354795089
20	0.133079481
21	0.1308246369
22	0.1288048845
23	0.1269646923
24	0.1259607745
25	0.1246153661
26	0.1207392745
27	0.1200084526
28	0.1190957574
29	0.1166867281
30	0.1127935295
31	0.1088410456
32	0.1070416434
33	0.1018265179
34	0.1000789193
35	0.09930352415
36	0.0968884701
37	0.09473070061
38	0.09334646336
39	0.08968256459
40	0.08927002372
41	0.08822208514
42	0.08484594514
43	0.08042422193
44	0.07964100815
45	0.07906930554
46	0.07727702645
47	0.07410102308
48	0.07367369124
49	0.0732362338
50	0.0706463537
51	0.0675141107
52	0.0659171027
53	0.06419428514
54	0.0622421758
55	0.06171029921
56	0.05889112746
57	0.05719613684
58	0.05563833263
59	0.05434389962
60	0.05398821777
61	0.05328957163
62	0.05248648477
63	0.05176723375
64	0.05142958415
65	0.05050219205
66	0.05023118951
67	0.04991537849
68	0.04905639489
69	0.04867424909
70	0.04822269248
71	0.04792040716
72	0.04751985746
73	0.04713626359
74	0.04670460817
75	0.04645884357
76	0.04613740229
77	0.04568329267
78	0.0454864678
79	0.04528109081
80	0.04497317451
81	0.04479200907
82	0.04438778114
83	0.04424461841
84	0.04406383238
85	0.04378227619
86	0.04347060642
87	0.04333645306
88	0.04314453341
89	0.04281981451
90	0.04265989775
91	0.0425675294
92	0.04234196491
93	0.04217397327
94	0.04187036301
95	0.0417673694
96	0.04159070924
97	0.04143658079
98	0.04121924542
99	0.04092181295
